sensor_index,humidity,temperature,pm2_5,latitude,longitude,date_time
83919,49,20.3,,40.68,-112.05,2025-06-11T00:00
83919,47,20.1,,40.68,-112.05,2025-06-11T01:00
83919,44,20.2,,40.68,-112.05,2025-06-11T02:00
83919,41,20,,40.68,-112.05,2025-06-11T03:00
83919,40,19.2,,40.68,-112.05,2025-06-11T04:00
83919,39,18.2,,40.68,-112.05,2025-06-11T05:00
83919,39,17.9,,40.68,-112.05,2025-06-11T06:00
83919,39,19.3,,40.68,-112.05,2025-06-11T07:00
83919,39,21.5,,40.68,-112.05,2025-06-11T08:00
83919,40,23,,40.68,-112.05,2025-06-11T09:00
83919,43,22.9,,40.68,-112.05,2025-06-11T10:00
83919,48,22.2,,40.68,-112.05,2025-06-11T11:00
83919,49,22.1,,40.68,-112.05,2025-06-11T12:00
83919,43,24,,40.68,-112.05,2025-06-11T13:00
83919,34,26.7,,40.68,-112.05,2025-06-11T14:00
83919,30,27.9,,40.68,-112.05,2025-06-11T15:00
83919,34,26.5,,40.68,-112.05,2025-06-11T16:00
83919,42,23.8,,40.68,-112.05,2025-06-11T17:00
83919,50,21.2,,40.68,-112.05,2025-06-11T18:00
83919,56,19.4,,40.68,-112.05,2025-06-11T19:00
83919,61,17.8,,40.68,-112.05,2025-06-11T20:00
83919,66,16.4,,40.68,-112.05,2025-06-11T21:00
83919,71,15.3,,40.68,-112.05,2025-06-11T22:00
83919,75,14.4,,40.68,-112.05,2025-06-11T23:00
83919,49,20.4,,40.68,-112.04,2025-06-11T00:00
83919,47,20.2,,40.68,-112.04,2025-06-11T01:00
83919,44,20.2,,40.68,-112.04,2025-06-11T02:00
83919,41,20.1,,40.68,-112.04,2025-06-11T03:00
83919,40,19.2,,40.68,-112.04,2025-06-11T04:00
83919,39,18.2,,40.68,-112.04,2025-06-11T05:00
83919,39,18,,40.68,-112.04,2025-06-11T06:00
83919,39,19.4,,40.68,-112.04,2025-06-11T07:00
83919,39,21.6,,40.68,-112.04,2025-06-11T08:00
83919,40,23.1,,40.68,-112.04,2025-06-11T09:00
83919,43,23,,40.68,-112.04,2025-06-11T10:00
83919,48,22.2,,40.68,-112.04,2025-06-11T11:00
83919,49,22.2,,40.68,-112.04,2025-06-11T12:00
83919,43,24.1,,40.68,-112.04,2025-06-11T13:00
83919,34,26.7,,40.68,-112.04,2025-06-11T14:00
83919,30,28,,40.68,-112.04,2025-06-11T15:00
83919,34,26.6,,40.68,-112.04,2025-06-11T16:00
83919,42,23.8,,40.68,-112.04,2025-06-11T17:00
83919,50,21.3,,40.68,-112.04,2025-06-11T18:00
83919,56,19.4,,40.68,-112.04,2025-06-11T19:00
83919,61,17.8,,40.68,-112.04,2025-06-11T20:00
83919,66,16.5,,40.68,-112.04,2025-06-11T21:00
83919,71,15.3,,40.68,-112.04,2025-06-11T22:00
83919,75,14.4,,40.68,-112.04,2025-06-11T23:00
83919,49,20.4,,40.68,-112.03,2025-06-11T00:00
83919,47,20.2,,40.68,-112.03,2025-06-11T01:00
83919,44,20.3,,40.68,-112.03,2025-06-11T02:00
83919,41,20.1,,40.68,-112.03,2025-06-11T03:00
83919,40,19.3,,40.68,-112.03,2025-06-11T04:00
83919,39,18.3,,40.68,-112.03,2025-06-11T05:00
83919,39,18,,40.68,-112.03,2025-06-11T06:00
83919,39,19.4,,40.68,-112.03,2025-06-11T07:00
83919,39,21.6,,40.68,-112.03,2025-06-11T08:00
83919,40,23.1,,40.68,-112.03,2025-06-11T09:00
83919,43,23,,40.68,-112.03,2025-06-11T10:00
83919,48,22.3,,40.68,-112.03,2025-06-11T11:00
83919,49,22.2,,40.68,-112.03,2025-06-11T12:00
83919,43,24.1,,40.68,-112.03,2025-06-11T13:00
83919,34,26.8,,40.68,-112.03,2025-06-11T14:00
83919,30,28,,40.68,-112.03,2025-06-11T15:00
83919,34,26.6,,40.68,-112.03,2025-06-11T16:00
83919,42,23.9,,40.68,-112.03,2025-06-11T17:00
83919,50,21.3,,40.68,-112.03,2025-06-11T18:00
83919,56,19.5,,40.68,-112.03,2025-06-11T19:00
83919,61,17.9,,40.68,-112.03,2025-06-11T20:00
83919,66,16.5,,40.68,-112.03,2025-06-11T21:00
83919,71,15.4,,40.68,-112.03,2025-06-11T22:00
83919,75,14.5,,40.68,-112.03,2025-06-11T23:00
84019,49,20.5,,40.68,-112.02,2025-06-11T00:00
84019,47,20.3,,40.68,-112.02,2025-06-11T01:00
84019,44,20.3,,40.68,-112.02,2025-06-11T02:00
84019,41,20.2,,40.68,-112.02,2025-06-11T03:00
84019,40,19.3,,40.68,-112.02,2025-06-11T04:00
84019,39,18.3,,40.68,-112.02,2025-06-11T05:00
84019,39,18.1,,40.68,-112.02,2025-06-11T06:00
84019,39,19.5,,40.68,-112.02,2025-06-11T07:00
84019,39,21.7,,40.68,-112.02,2025-06-11T08:00
84019,40,23.2,,40.68,-112.02,2025-06-11T09:00
84019,43,23.1,,40.68,-112.02,2025-06-11T10:00
84019,48,22.3,,40.68,-112.02,2025-06-11T11:00
84019,49,22.3,,40.68,-112.02,2025-06-11T12:00
84019,43,24.2,,40.68,-112.02,2025-06-11T13:00
84019,34,26.8,,40.68,-112.02,2025-06-11T14:00
84019,30,28.1,,40.68,-112.02,2025-06-11T15:00
84019,34,26.7,,40.68,-112.02,2025-06-11T16:00
84019,42,23.9,,40.68,-112.02,2025-06-11T17:00
84019,50,21.4,,40.68,-112.02,2025-06-11T18:00
84019,56,19.5,,40.68,-112.02,2025-06-11T19:00
84019,61,17.9,,40.68,-112.02,2025-06-11T20:00
84019,66,16.6,,40.68,-112.02,2025-06-11T21:00
84019,71,15.4,,40.68,-112.02,2025-06-11T22:00
84019,75,14.5,,40.68,-112.02,2025-06-11T23:00
84019,49,20.5,,40.68,-112.01,2025-06-11T00:00
84019,47,20.3,,40.68,-112.01,2025-06-11T01:00
84019,44,20.4,,40.68,-112.01,2025-06-11T02:00
84019,41,20.2,,40.68,-112.01,2025-06-11T03:00
84019,40,19.4,,40.68,-112.01,2025-06-11T04:00
84019,39,18.4,,40.68,-112.01,2025-06-11T05:00
84019,39,18.1,,40.68,-112.01,2025-06-11T06:00
84019,39,19.5,,40.68,-112.01,2025-06-11T07:00
