sensor_index,humidity,temperature,pm2_5,latitude,longitude,date_time
83919,29,20.7,,40.68,-112.05,2025-06-10T00:00
83919,33,19.9,,40.68,-112.05,2025-06-10T01:00
83919,34,19.7,,40.68,-112.05,2025-06-10T02:00
83919,40,18.8,,40.68,-112.05,2025-06-10T03:00
83919,43,18.4,,40.68,-112.05,2025-06-10T04:00
83919,42,18.6,,40.68,-112.05,2025-06-10T05:00
83919,41,18.6,,40.68,-112.05,2025-06-10T06:00
83919,39,20.3,,40.68,-112.05,2025-06-10T07:00
83919,36,22.8,,40.68,-112.05,2025-06-10T08:00
83919,33,25.1,,40.68,-112.05,2025-06-10T09:00
83919,29,27.3,,40.68,-112.05,2025-06-10T10:00
83919,25,29.3,,40.68,-112.05,2025-06-10T11:00
83919,22,31,,40.68,-112.05,2025-06-10T12:00
83919,20,32.3,,40.68,-112.05,2025-06-10T13:00
83919,18,33.2,,40.68,-112.05,2025-06-10T14:00
83919,17,33.5,,40.68,-112.05,2025-06-10T15:00
83919,17,33.4,,40.68,-112.05,2025-06-10T16:00
83919,19,32.8,,40.68,-112.05,2025-06-10T17:00
83919,22,31.4,,40.68,-112.05,2025-06-10T18:00
83919,29,28.8,,40.68,-112.05,2025-06-10T19:00
83919,38,25.6,,40.68,-112.05,2025-06-10T20:00
83919,45,22.9,,40.68,-112.05,2025-06-10T21:00
83919,48,21.5,,40.68,-112.05,2025-06-10T22:00
83919,49,20.8,,40.68,-112.05,2025-06-10T23:00
83919,29,20.8,,40.68,-112.04,2025-06-10T00:00
83919,33,20,,40.68,-112.04,2025-06-10T01:00
83919,34,19.8,,40.68,-112.04,2025-06-10T02:00
83919,40,18.9,,40.68,-112.04,2025-06-10T03:00
83919,43,18.5,,40.68,-112.04,2025-06-10T04:00
83919,42,18.7,,40.68,-112.04,2025-06-10T05:00
83919,41,18.7,,40.68,-112.04,2025-06-10T06:00
83919,39,20.4,,40.68,-112.04,2025-06-10T07:00
83919,36,22.8,,40.68,-112.04,2025-06-10T08:00
83919,33,25.2,,40.68,-112.04,2025-06-10T09:00
83919,29,27.3,,40.68,-112.04,2025-06-10T10:00
83919,25,29.4,,40.68,-112.04,2025-06-10T11:00
83919,22,31.1,,40.68,-112.04,2025-06-10T12:00
83919,20,32.3,,40.68,-112.04,2025-06-10T13:00
83919,18,33.2,,40.68,-112.04,2025-06-10T14:00
83919,17,33.6,,40.68,-112.04,2025-06-10T15:00
83919,17,33.5,,40.68,-112.04,2025-06-10T16:00
83919,19,32.8,,40.68,-112.04,2025-06-10T17:00
83919,22,31.5,,40.68,-112.04,2025-06-10T18:00
83919,29,28.9,,40.68,-112.04,2025-06-10T19:00
83919,38,25.6,,40.68,-112.04,2025-06-10T20:00
83919,45,23,,40.68,-112.04,2025-06-10T21:00
83919,48,21.6,,40.68,-112.04,2025-06-10T22:00
83919,49,20.9,,40.68,-112.04,2025-06-10T23:00
83919,29,20.8,,40.68,-112.03,2025-06-10T00:00
83919,33,20,,40.68,-112.03,2025-06-10T01:00
83919,34,19.8,,40.68,-112.03,2025-06-10T02:00
83919,40,18.9,,40.68,-112.03,2025-06-10T03:00
83919,43,18.5,,40.68,-112.03,2025-06-10T04:00
83919,42,18.7,,40.68,-112.03,2025-06-10T05:00
83919,41,18.7,,40.68,-112.03,2025-06-10T06:00
83919,39,20.4,,40.68,-112.03,2025-06-10T07:00
83919,36,22.9,,40.68,-112.03,2025-06-10T08:00
83919,33,25.2,,40.68,-112.03,2025-06-10T09:00
83919,29,27.4,,40.68,-112.03,2025-06-10T10:00
83919,25,29.4,,40.68,-112.03,2025-06-10T11:00
83919,22,31.1,,40.68,-112.03,2025-06-10T12:00
83919,20,32.4,,40.68,-112.03,2025-06-10T13:00
83919,18,33.3,,40.68,-112.03,2025-06-10T14:00
83919,17,33.6,,40.68,-112.03,2025-06-10T15:00
83919,17,33.5,,40.68,-112.03,2025-06-10T16:00
83919,19,32.9,,40.68,-112.03,2025-06-10T17:00
83919,22,31.5,,40.68,-112.03,2025-06-10T18:00
83919,29,28.9,,40.68,-112.03,2025-06-10T19:00
83919,38,25.7,,40.68,-112.03,2025-06-10T20:00
83919,45,23,,40.68,-112.03,2025-06-10T21:00
83919,48,21.6,,40.68,-112.03,2025-06-10T22:00
83919,49,20.9,,40.68,-112.03,2025-06-10T23:00
84019,29,20.9,,40.68,-112.02,2025-06-10T00:00
84019,33,20.1,,40.68,-112.02,2025-06-10T01:00
84019,34,19.9,,40.68,-112.02,2025-06-10T02:00
84019,40,19,,40.68,-112.02,2025-06-10T03:00
84019,43,18.6,,40.68,-112.02,2025-06-10T04:00
