sensor_index,humidity,temperature,pm2_5,latitude,longitude,date_time
83919,70,15.3,,40.68,-112.05,2025-06-12T00:00
83919,69,15.3,,40.68,-112.05,2025-06-12T01:00
83919,67,15.6,,40.68,-112.05,2025-06-12T02:00
83919,64,15.7,,40.68,-112.05,2025-06-12T03:00
83919,61,15.6,,40.68,-112.05,2025-06-12T04:00
83919,57,15.3,,40.68,-112.05,2025-06-12T05:00
83919,53,15.7,,40.68,-112.05,2025-06-12T06:00
83919,50,17.1,,40.68,-112.05,2025-06-12T07:00
83919,46,19.2,,40.68,-112.05,2025-06-12T08:00
83919,43,21.1,,40.68,-112.05,2025-06-12T09:00
83919,39,22.8,,40.68,-112.05,2025-06-12T10:00
83919,35,24.5,,40.68,-112.05,2025-06-12T11:00
83919,31,26.1,,40.68,-112.05,2025-06-12T12:00
83919,27,27.9,,40.68,-112.05,2025-06-12T13:00
83919,23,29.6,,40.68,-112.05,2025-06-12T14:00
83919,20,30.8,,40.68,-112.05,2025-06-12T15:00
83919,18,31.4,,40.68,-112.05,2025-06-12T16:00
83919,18,31.5,,40.68,-112.05,2025-06-12T17:00
83919,19,30.6,,40.68,-112.05,2025-06-12T18:00
83919,23,28.3,,40.68,-112.05,2025-06-12T19:00
83919,28,25.2,,40.68,-112.05,2025-06-12T20:00
83919,32,22.6,,40.68,-112.05,2025-06-12T21:00
83919,32,21.4,,40.68,-112.05,2025-06-12T22:00
83919,30,20.7,,40.68,-112.05,2025-06-12T23:00
83919,70,15.4,,40.68,-112.04,2025-06-12T00:00
83919,69,15.4,,40.68,-112.04,2025-06-12T01:00
83919,67,15.6,,40.68,-112.04,2025-06-12T02:00
83919,64,15.8,,40.68,-112.04,2025-06-12T03:00
83919,61,15.6,,40.68,-112.04,2025-06-12T04:00
83919,57,15.4,,40.68,-112.04,2025-06-12T05:00
83919,53,15.8,,40.68,-112.04,2025-06-12T06:00
83919,50,17.2,,40.68,-112.04,2025-06-12T07:00
83919,46,19.2,,40.68,-112.04,2025-06-12T08:00
83919,43,21.2,,40.68,-112.04,2025-06-12T09:00
83919,39,22.9,,40.68,-112.04,2025-06-12T10:00
83919,35,24.5,,40.68,-112.04,2025-06-12T11:00
83919,31,26.2,,40.68,-112.04,2025-06-12T12:00
83919,27,27.9,,40.68,-112.04,2025-06-12T13:00
83919,23,29.7,,40.68,-112.04,2025-06-12T14:00
83919,20,30.9,,40.68,-112.04,2025-06-12T15:00
83919,18,31.5,,40.68,-112.04,2025-06-12T16:00
83919,18,31.5,,40.68,-112.04,2025-06-12T17:00
83919,19,30.7,,40.68,-112.04,2025-06-12T18:00
83919,23,28.4,,40.68,-112.04,2025-06-12T19:00
83919,28,25.2,,40.68,-112.04,2025-06-12T20:00
83919,32,22.7,,40.68,-112.04,2025-06-12T21:00
83919,32,21.4,,40.68,-112.04,2025-06-12T22:00
83919,30,20.8,,40.68,-112.04,2025-06-12T23:00
83919,70,15.4,,40.68,-112.03,2025-06-12T00:00
83919,69,15.4,,40.68,-112.03,2025-06-12T01:00
83919,67,15.7,,40.68,-112.03,2025-06-12T02:00
83919,64,15.8,,40.68,-112.03,2025-06-12T03:00
83919,61,15.7,,40.68,-112.03,2025-06-12T04:00
83919,57,15.4,,40.68,-112.03,2025-06-12T05:00
83919,53,15.8,,40.68,-112.03,2025-06-12T06:00
83919,50,17.2,,40.68,-112.03,2025-06-12T07:00
83919,46,19.3,,40.68,-112.03,2025-06-12T08:00
83919,43,21.2,,40.68,-112.03,2025-06-12T09:00
83919,39,22.9,,40.68,-112.03,2025-06-12T10:00
83919,35,24.6,,40.68,-112.03,2025-06-12T11:00
83919,31,26.2,,40.68,-112.03,2025-06-12T12:00
83919,27,28,,40.68,-112.03,2025-06-12T13:00
83919,23,29.7,,40.68,-112.03,2025-06-12T14:00
83919,20,30.9,,40.68,-112.03,2025-06-12T15:00
83919,18,31.5,,40.68,-112.03,2025-06-12T16:00
83919,18,31.6,,40.68,-112.03,2025-06-12T17:00
83919,19,30.7,,40.68,-112.03,2025-06-12T18:00
83919,23,28.4,,40.68,-112.03,2025-06-12T19:00
83919,28,25.3,,40.68,-112.03,2025-06-12T20:00
83919,32,22.7,,40.68,-112.03,2025-06-12T21:00
83919,32,21.5,,40.68,-112.03,2025-06-12T22:00
83919,30,20.8,,40.68,-112.03,2025-06-12T23:00
84019,70,15.5,,40.68,-112.02,2025-06-12T00:00
84019,69,15.5,,40.68,-112.02,2025-06-12T01:00
84019,67,15.7,,40.68,-112.02,2025-06-12T02:00
84019,64,15.9,,40.68,-112.02,2025-06-12T03:00
84019,61,15.7,,40.68,-112.02,2025-06-12T04:00
84019,57,15.5,,40.68,-112.02,2025-06-12T05:00
84019,53,15.9,,40.68,-112.02,2025-06-12T06:00
84019,50,17.3,,40.68,-112.02,2025-06-12T07:00
84019,46,19.3,,40.68,-112.02,2025-06-12T08:00
84019,43,21.3,,40.68,-112.02,2025-06-12T09:00
84019,39,23,,40.68,-112.02,2025-06-12T10:00
84019,35,24.6,,40.68,-112.02,2025-06-12T11:00
84019,31,26.3,,40.68,-112.02,2025-06-12T12:00
84019,27,28,,40.68,-112.02,2025-06-12T13:00
84019,23,29.8,,40.68,-112.02,2025-06-12T14:00
84019,20,31,,40.68,-112.02,2025-06-12T15:00
84019,18,31.6,,40.68,-112.02,2025-06-12T16:00
84019,18,31.6,,40.68,-112.02,2025-06-12T17:00
84019,19,30.8,,40.68,-112.02,2025-06-12T18:00
84019,23,28.5,,40.68,-112.02,2025-06-12T19:00
84019,28,25.3,,40.68,-112.02,2025-06-12T20:00
84019,32,22.8,,40.68,-112.02,2025-06-12T21:00
84019,32,21.5,,40.68,-112.02,2025-06-12T22:00
84019,30,20.9,,40.68,-112.02,2025-06-12T23:00
84019,70,15.5,,40.68,-112.01,2025-06-12T00:00
84019,69,15.5,,40.68,-112.01,2025-06-12T01:00
84019,67,15.8,,40.68,-112.01,2025-06-12T02:00
84019,64,15.9,,40.68,-112.01,2025-06-12T03:00
84019,61,15.8,,40.68,-112.01,2025-06-12T04:00
84019,57,15.5,,40.68,-112.01,2025-06-12T05:00
84019,53,15.9,,40.68,-112.01,2025-06-12T06:00
84019,50,17.3,,40.68,-112.01,2025-06-12T07:00
84019,46,19.4,,40.68,-112.01,2025-06-12T08:00
84019,43,21.3,,40.68,-112.01,2025-06-12T09:00
84019,39,23,,40.68,-112.01,2025-06-12T10:00
84019,35,24.7,,40.68,-112.01,2025-06-12T11:00
84019,31,26.3,,40.68,-112.01,2025-06-12T12:00
84019,27,28.1,,40.68,-112.01,2025-06-12T13:00
84019,23,29.8,,40.68,-112.01,2025-06-12T14:00
84019,20,31,,40.68,-112.01,2025-06-12T15:00
84019,18,31.6,,40.68,-112.01,2025-06-12T16:00
84019,18,31.7,,40.68,-112.01,2025-06-12T17:00
84019,19,30.8,,40.68,-112.01,2025-06-12T18:00
84019,23,28.5,,40.68,-112.01,2025-06-12T19:00
84019,28,25.4,,40.68,-112.01,2025-06-12T20:00
84019,32,22.8,,40.68,-112.01,2025-06-12T21:00
84019,32,21.6,,40.68,-112.01,2025-06-12T22:00
84019,30,20.9,,40.68,-112.01,2025-06-12T23:00
46777,70,15.6,,40.68,-112,2025-06-12T00:00
46777,69,15.6,,40.68,-112,2025-06-12T01:00
46777,67,15.8,,40.68,-112,2025-06-12T02:00
46777,64,16,,40.68,-112,2025-06-12T03:00
46777,61,15.8,,40.68,-112,2025-06-12T04:00
46777,57,15.6,,40.68,-112,2025-06-12T05:00
46777,53,16,,40.68,-112,2025-06-12T06:00
46777,50,17.4,,40.68,-112,2025-06-12T07:00
46777,46,19.4,,40.68,-112,2025-06-12T08:00
46777,43,21.4,,40.68,-112,2025-06-12T09:00
46777,39,23.1,,40.68,-112,2025-06-12T10:00
46777,35,24.7,,40.68,-112,2025-06-12T11:00
46777,31,26.4,,40.68,-112,2025-06-12T12:00
46777,27,28.1,,40.68,-112,2025-06-12T13:00
46777,23,29.9,,40.68,-112,2025-06-12T14:00
46777,20,31.1,,40.68,-112,2025-06-12T15:00
46777,18,31.7,,40.68,-112,2025-06-12T16:00
46777,18,31.7,,40.68,-112,2025-06-12T17:00
46777,19,30.9,,40.68,-112,2025-06-12T18:00
46777,23,28.6,,40.68,-112,2025-06-12T19:00
46777,28,25.4,,40.68,-112,2025-06-12T20:00
46777,32,22.9,,40.68,-112,2025-06-12T21:00
46777,32,21.6,,40.68,-112,2025-06-12T22:00
46777,30,21,,40.68,-112,2025-06-12T23:00
6314,70,15.6,,40.68,-111.99,2025-06-12T00:00
6314,69,15.6,,40.68,-111.99,2025-06-12T01:00
6314,67,15.9,,40.68,-111.99,2025-06-12T02:00
6314,64,16,,40.68,-111.99,2025-06-12T03:00
6314,61,15.9,,40.68,-111.99,2025-06-12T04:00
6314,57,15.6,,40.68,-111.99,2025-06-12T05:00
6314,53,16,,40.68,-111.99,2025-06-12T06:00
6314,50,17.4,,40.68,-111.99,2025-06-12T07:00
6314,46,19.5,,40.68,-111.99,2025-06-12T08:00
6314,43,21.4,,40.68,-111.99,2025-06-12T09:00
6314,39,23.1,,40.68,-111.99,2025-06-12T10:00
